
|N   |clock_time|AVERAGE_OB    |MAX_OB  |MIN_OB  |
|1598|0.028755  |638125.400000 |649970  |625252  |
|1600|0.028252  |636754.500000 |649698  |616513  |
|1602|0.028685  |641402.300000 |660163  |609651  |
|1604|0.028694  |639977.000000 |647481  |630693  |
|1606|0.028800  |647070.200000 |664523  |627904  |
|1608|0.029517  |655650.400000 |667968  |643555  |
|1610|0.028618  |646393.500000 |673326  |627097  |
|1612|0.029026  |653919.100000 |666461  |642132  |
|1614|0.029487  |654069.700000 |673907  |636882  |
|1616|0.029021  |653050.300000 |670503  |631886  |
|1618|0.029647  |659765.900000 |674977  |638978  |
|1620|0.029511  |657683.500000 |666909  |641975  |
|1622|0.029223  |659118.900000 |673050  |641430  |
|1624|0.030090  |663682.700000 |684735  |647181  |
|1626|0.029529  |665031.200000 |682070  |657283  |
|1628|0.029742  |663101.900000 |679831  |651184  |
|1630|0.029633  |665857.500000 |683642  |640454  |
|1632|0.029814  |670062.600000 |679568  |651044  |
|1634|0.030058  |667956.300000 |675469  |653975  |
|1636|0.029804  |671833.800000 |701914  |653505  |
|1638|0.030381  |671771.300000 |689059  |643816  |
|1640|0.030076  |676456.600000 |701680  |652206  |
|1642|0.030034  |676008.300000 |689427  |662627  |
|1644|0.030493  |680536.400000 |694452  |666744  |
|1646|0.031960  |670177.900000 |689871  |653665  |
|1648|0.030039  |674978.100000 |697686  |661914  |
|1650|0.031544  |683555.800000 |706287  |660072  |
|1652|0.030472  |683765.600000 |705036  |668457  |
|1654|0.030923  |684136.600000 |698448  |666113  |
|1656|0.030219  |679693.200000 |705550  |657773  |
|1658|0.030658  |686966.900000 |706486  |669533  |
|1660|0.030887  |689665.000000 |708220  |664595  |
|1662|0.032201  |693766.600000 |711102  |679534  |
|1664|0.031097  |694658.500000 |705196  |681876  |
|1666|0.030911  |698460.400000 |714504  |673096  |
|1668|0.031307  |702210.900000 |725200  |688134  |
|1670|0.031043  |693820.800000 |709791  |678943  |
|1672|0.031292  |695922.300000 |713698  |679480  |
|1674|0.031397  |695154.700000 |711193  |678868  |
|1676|0.032881  |704028.500000 |717429  |694433  |
|1678|0.031135  |700943.900000 |735772  |676880  |
|1680|0.031775  |705521.300000 |720777  |689188  |
|1682|0.031892  |713424.000000 |729926  |705784  |
|1684|0.031890  |715206.200000 |737340  |698830  |
|1686|0.031814  |712605.100000 |728998  |695763  |
|1688|0.031679  |714236.500000 |731438  |701866  |
|1690|0.031943  |712218.500000 |737643  |685405  |
|1692|0.032160  |718646.100000 |738445  |701652  |
|1694|0.032385  |724260.800000 |742221  |705568  |
|1696|0.032045  |719484.400000 |730035  |711940  |
|1698|0.031830  |716529.400000 |737174  |690496  |
|1700|0.032447  |724396.000000 |747504  |699319  |
|1702|0.032412  |726941.000000 |749468  |699889  |
|1704|0.032342  |725331.300000 |746152  |713439  |
|1706|0.032293  |725860.300000 |747305  |705735  |
|1708|0.032702  |733981.200000 |753219  |722633  |
|1710|0.032913  |736424.600000 |748983  |723793  |
|1712|0.032691  |735417.500000 |751965  |723767  |
|1714|0.037993  |738516.200000 |763510  |712778  |
|1716|0.032812  |731634.000000 |748541  |703491  |
|1718|0.035038  |737876.000000 |754026  |724120  |
|1720|0.033982  |736778.500000 |754416  |723826  |
|1722|0.035804  |739601.400000 |754364  |722686  |
|1724|0.033272  |743993.400000 |768555  |723687  |
|1726|0.033524  |747763.300000 |756196  |723581  |
|1728|0.033229  |748676.400000 |759532  |735120  |
|1730|0.034290  |747166.700000 |759614  |729371  |
|1732|0.033341  |748517.200000 |764001  |734010  |
|1734|0.033881  |751944.200000 |770187  |731001  |
|1736|0.033733  |757830.800000 |769046  |742005  |
|1738|0.033550  |755673.300000 |769314  |742467  |
|1740|0.034035  |756972.600000 |770250  |734198  |
|1742|0.034671  |762863.200000 |772737  |746489  |
|1744|0.034145  |759375.900000 |770537  |748466  |
|1746|0.033590  |760535.100000 |768920  |745289  |
|1748|0.034378  |769560.400000 |790065  |761870  |
|1750|0.034752  |780945.700000 |820424  |751859  |
|1752|0.035503  |761941.200000 |777260  |752134  |
|1754|0.034909  |763934.900000 |788116  |748202  |
|1756|0.034360  |769113.100000 |792821  |747306  |
|1758|0.035036  |779110.800000 |808728  |765436  |
|1760|0.034381  |770800.400000 |783918  |749725  |
|1762|0.034624  |776031.200000 |799888  |749971  |
|1764|0.035126  |781981.700000 |806808  |760544  |
|1766|0.034581  |775141.900000 |795954  |740603  |
|1768|0.034903  |779402.400000 |809536  |756212  |
|1770|0.034972  |787480.800000 |803023  |768967  |
|1772|0.034808  |784183.600000 |813877  |763831  |
|1774|0.035910  |784558.000000 |794302  |763309  |
|1776|0.035425  |786235.200000 |807401  |765549  |
|1778|0.035929  |785391.400000 |796295  |771048  |
|1780|0.039074  |789892.700000 |803496  |771798  |
|1782|0.038307  |794755.100000 |820374  |772251  |
|1784|0.037119  |798958.100000 |834727  |777690  |
|1786|0.036766  |801708.100000 |831990  |784580  |
|1788|0.036178  |800255.600000 |820653  |785276  |
|1790|0.042520  |800082.000000 |812467  |783963  |
|1792|0.042140  |805122.500000 |827175  |787776  |
|1794|0.042774  |811458.800000 |837362  |794477  |
|1796|0.054891  |804377.100000 |819025  |785485  |
|1798|0.062367  |812624.600000 |834184  |783971  |
|1800|0.066498  |804284.300000 |831921  |784022  |
|1802|0.063990  |808953.100000 |830412  |788765  |
|1804|0.083619  |814644.300000 |850737  |793857  |
|1806|0.052259  |806520.900000 |824378  |773496  |
|1808|0.043819  |814742.200000 |830184  |792859  |
|1810|0.066456  |815323.700000 |832441  |794953  |
|1812|0.040913  |829607.800000 |853301  |809716  |
|1814|0.041071  |816206.100000 |836532  |799749  |
|1816|0.064320  |827249.500000 |844941  |796304  |
|1818|0.049852  |820778.600000 |837634  |799034  |
|1820|0.039327  |827122.800000 |845245  |810292  |
|1822|0.038452  |824526.400000 |845677  |808813  |
|1824|0.040718  |836518.700000 |857351  |818517  |
|1826|0.043681  |845073.000000 |861123  |815383  |
|1828|0.038783  |833516.100000 |853650  |817310  |
|1830|0.039751  |842731.400000 |857688  |828878  |
|1832|0.039873  |839569.000000 |851636  |830610  |
|1834|0.045108  |841191.600000 |862950  |817921  |
|1836|0.041559  |837949.800000 |850489  |826908  |
|1838|0.044139  |847588.100000 |861735  |836799  |
|1840|0.039182  |845613.800000 |875438  |828075  |
|1842|0.038371  |842001.000000 |859949  |807990  |
|1844|0.039289  |856720.000000 |876149  |835196  |
|1846|0.039864  |847785.900000 |860350  |831782  |
|1848|0.042179  |855625.000000 |870653  |839080  |
|1850|0.051379  |860978.900000 |883979  |830331  |
|1852|0.054261  |863238.400000 |881944  |835304  |
|1854|0.043745  |863929.500000 |891652  |843906  |
|1856|0.044733  |862396.700000 |879001  |849558  |
|1858|0.045197  |866671.200000 |898316  |848094  |
|1860|0.056476  |866913.200000 |896888  |836622  |
|1862|0.061738  |868460.700000 |889971  |843168  |
|1864|0.043186  |868704.700000 |891932  |849225  |
